Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,10/08/2011 04:01:40 PM,59086131,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13539556346987755,8440875.857142856,1.4782453069598626E7,4.1116855E7,269702.0,5.0103422E7,8350570.333333333,1.6191250716660732E7,4.1116855E7,269702.0,0,0,0,0,0,0,0,0,0,0,0,0.11847111803614287,0.016924445433734694,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,7,0,1,0,-1,-1,0,0,2987276.0,0.0,2987276.0,2987276.0,1.8699618333333332E7,1.9471121451207925E7,4.1116855E7,5999291.0,No Label
147.32.84.165-147.32.84.255-137-137-17,147.32.84.165,137,147.32.84.255,137,17,10/08/2011 04:04:23 PM,12452268,37,1,2408.0,68.0,68.0,50.0,65.0810810810811,6.7263097790128,68.0,68.0,68.0,0.0,198.83927971996746,3.0516529197733298,336547.7837837838,417536.37466766726,1763265.0,0.0,1.245226E7,345896.11111111107,419513.77842230495,1763265.0,0.0,0,0,0,0,0,0,0,0,0,296,8,2.971346263989821,0.08030665578350868,50.0,68.0,65.23076923076925,6.579319827513519,43.287449392712524,0,0,0,0,0,0,0,0,0.0,66.94736842105263,65.08108108108108,68.0,0,0,0,0,0,0,37,2408,1,68,-1,-1,37,0,0,0,0,0,0,0,0,0,No Label
147.32.80.9-147.32.84.165-53-1025-17,147.32.84.165,1025,147.32.80.9,53,17,10/08/2011 04:04:24 PM,118741070,5,4,170.0,682.0,45.0,22.0,34.0,10.44030650891055,461.0,22.0,170.5,197.0930406347892,7.175276422892265,0.07579517348125632,1.484263375E7,4.093288902210006E7,1.16128125E8,6.0,1.18404508E8,2.9601127E7,5.770830792892278E7,1.16148894E8,6.0,1.1874107E8,3.9580356666666664E7,6.65935000254962E7,1.16464687E8,625.0,0,0,0,0,40,32,0.042108429711809066,0.033686743769447254,22.0,461.0,87.39999999999999,134.63134850397955,18125.6,0,0,0,0,0,0,0,0,0.0,97.11111111111111,34.0,170.5,0,0,0,0,0,0,5,170,4,682,-1,-1,5,0,2276383.0,0.0,2276383.0,2276383.0,1.16128125E8,0.0,1.16128125E8,1.16128125E8,No Label
147.32.84.165-94.63.149.152-1040-80-6,147.32.84.165,1040,94.63.149.152,80,6,10/08/2011 04:06:36 PM,180643,25,11,180.0,25790.0,90.0,0.0,7.2,24.919871588754223,5840.0,0.0,2344.5454545454545,2050.8991376289746,143764.220036204,199.2880986254657,5161.228571428572,12505.584141131689,35794.0,4.0,145692.0,6070.500000000001,13726.630486821561,37155.0,4.0,180643.0,18064.3,18606.824202426378,36284.0,9.0,0,0,0,0,508,236,138.39451293435118,60.89358569111452,0.0,5840.0,701.8918918918921,1530.3936273569145,2342104.6546546547,0,1,0,0,0,0,0,0,0.0,721.3888888888889,7.2,2344.5454545454545,0,0,0,0,0,0,25,180,11,25790,-1,5840,2,0,0,0,0,0,0,0,0,0,No Label
147.32.84.165-94.63.149.152-1040-80-6,147.32.84.165,1040,94.63.149.152,80,6,10/08/2011 04:06:36 PM,440,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11363.636363636364,110.0,172.59393577604826,366.0,5.0,432.0,144.0,194.2858718486756,366.0,5.0,0,0,0,0,0,0,0,0,0,80,20,9090.90909090909,2272.7272727272725,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,1,0,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
147.32.84.165-60.190.223.75-1041-2012-6,147.32.84.165,1041,60.190.223.75,2012,6,10/08/2011 04:06:38 PM,2251978,53,28,202.0,56093.0,101.0,0.0,3.811320754716981,19.430405003670835,5840.0,0.0,2003.3214285714287,1291.834470922862,24998.023959381488,35.968379797671204,28149.725000000017,75473.80982243636,316742.0,3.0,2251754.0,43302.96153846153,95520.6488683666,317127.0,3.0,2251978.0,83406.59259259257,121977.51137410513,349398.0,13.0,0,0,0,0,1068,576,23.53486579353795,12.433514004133256,0.0,5840.0,686.5243902439026,1211.0774738000537,1466708.6475459198,0,1,0,0,0,0,0,0,0.0,695.0,3.811320754716981,2003.3214285714287,0,0,0,0,0,0,53,202,28,56093,-1,65434,2,0,0,0,0,0,0,0,0,0,No Label
147.32.84.165-60.190.223.75-1041-2012-6,147.32.84.165,1041,60.190.223.75,2012,6,10/08/2011 04:06:40 PM,272,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18382.352941176472,68.0,107.65066960621594,228.0,2.0,265.0,88.33333333333333,122.0751134889226,228.0,2.0,0,0,0,0,0,0,0,0,0,80,20,14705.882352941177,3676.470588235294,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,1,0,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
147.32.84.165-122.224.6.164-1045-82-6,147.32.84.165,1045,122.224.6.164,82,6,10/08/2011 04:06:44 PM,3244706,107,56,370.0,128783.0,185.0,0.0,3.457943925233646,25.17309149380179,4380.0,0.0,2299.696428571428,1077.1032181422854,39804.22263218917,50.235676206103115,20029.049382716043,58850.80325016894,308869.0,4.0,3244587.0,30609.311320754725,70678.64073346861,309178.0,6.0,3244706.0,58994.65454545455,119546.61408331837,567822.0,16.0,0,0,0,0,2148,1140,32.97679358314744,17.25888262295567,0.0,4380.0,787.5182926829272,1258.902601633471,1584835.7603995216,0,1,0,0,0,0,0,0,0.0,792.3496932515337,3.457943925233645,2299.6964285714284,0,0,0,0,0,0,107,370,56,128783,-1,65350,2,0,0,0,0,0,0,0,0,0,No Label
147.32.84.165-147.32.84.255-138-138-17,147.32.84.165,138,147.32.84.255,138,17,10/08/2011 04:04:32 PM,4013247,5,1,959.0,201.0,201.0,178.0,191.8,12.597618822618822,201.0,201.0,201.0,0.0,289.0427626308573,1.4950487722285721,802649.3999999999,1794596.944023309,4012922.0,11.0,4013235.0,1003308.7500000001,2006408.8376286249,4012922.0,11.0,0,0,0,0,0,0,0,0,0,40,8,1.2458739768571434,0.2491747953714287,178.0,201.0,194.42857142857144,11.22285083890813,125.9523809523809,0,0,0,0,0,0,0,0,0.0,226.83333333333334,191.8,201.0,0,0,0,0,0,0,5,959,1,201,-1,-1,5,0,0,0,0,0,0,0,0,0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,10/08/2011 04:04:20 PM,111317734,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08983294611440797,1.2368637111111112E7,3.5670199652669325E7,1.07472566E8,6.0,1.11317728E8,1.3914716E7,3.780929445648864E7,1.07472566E8,6.0,0,0,0,0,0,0,0,0,0,0,0,0.08084965150296718,0.008983294611440797,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,9,0,1,0,-1,-1,0,0,3845168.0,0.0,3845168.0,3845168.0,1.07472566E8,0.0,1.07472566E8,1.07472566E8,No Label
